,full_name,forks_count,open_issues_count,watchers_count,star_count
569,fabric/fabric,-0.39129267944931745,-0.40037526407610013,0.7553691223930968,0.7553691223930968
570,locustio/locust,-0.4825253000864074,-2.565671984652582,0.7213353094956753,0.7213353094956753
571,learn-anything/learn-anything,-1.2156157384800155,-2.8083896111478808,0.7164980162919808,0.7164980162919808
572,iperov/DeepFaceLab,0.31192513094807534,-1.8694556349686986,0.6928298316881902,0.6928298316881902
573,youfou/wxpy,-0.19752428163602895,-0.9816201064727369,0.6924843107450692,0.6924843107450692
574,swisskyrepo/PayloadsAllTheThings,1.0660071457714564,-2.776453081345868,0.6717530541578073,0.6717530541578073
575,pytorch/examples,2.4627543466755775,-1.4095696058197111,0.6617329468072974,0.6617329468072974
576,OWASP/CheatSheetSeries,-0.565684237481277,-2.501798925048556,0.6551680488879978,0.6551680488879978
577,powerline/powerline,-1.1518336408664747,-1.7097729859586335,0.6004029794033143,0.6004029794033143
578,cookiecutter/cookiecutter,-0.8765210423067606,-1.556477642908971,0.5637777594324851,0.5637777594324851
579,tonybeltramelli/pix2code,-0.9144673535451963,-2.821164223068686,0.530262227949745,0.530262227949745
580,junyanz/pytorch-CycleGAN-and-pix2pix,0.6114587792344505,-1.8566810230478934,0.5283618627625793,0.5283618627625793
581,Kr1s77/awesome-python-login-model,-0.06027166651828294,-2.4123766416029198,0.5273252999332162,0.5273252999332162
582,plotly/dash,-0.9645241896469625,-1.2818234866116591,0.5205876415423561,0.5205876415423561
583,matplotlib/matplotlib,1.9524975657672512,7.168582299000983,0.5197238391845536,0.5197238391845536
584,donnemartin/system-design-primer,8.760227275607454,-2.0291382839787637,12.3558892667386,12.3558892667386
585,vinta/awesome-python,10.4290576017744,-2.7381292455834525,12.042501771327824,12.042501771327824
586,public-apis/public-apis,4.352803593679362,-2.4315385594841277,10.452241630613278,10.452241630613278
587,TheAlgorithms/Python,13.905585605874483,-2.6103831263754005,9.89664395407466,9.89664395407466
588,tensorflow/models,29.24800587106582,9.448850526864712,9.162239189470908,9.162239189470908
589,ytdl-org/youtube-dl,6.500403336109976,17.215814574714273,8.963910168119435,8.963910168119435
590,nvbn/thefuck,0.23603250847120402,-1.4798299713841399,7.5244699190772195,7.5244699190772195
591,pallets/flask,8.782026220361448,-2.635932350217011,7.009298192883762,7.009298192883762
592,keras-team/keras,12.294885799051524,14.769476391880078,6.667405219665501,6.667405219665501
593,jakubroztocil/httpie,0.5266851051911368,-1.9077794707311142,6.495854071405909,6.495854071405909
594,josephmisiti/awesome-machine-learning,6.943648546107873,-2.8020023051874783,6.124764578493922,6.124764578493922
595,ansible/ansible,12.556473136099463,37.61048250627979,5.786499575178432,5.786499575178432
596,scikit-learn/scikit-learn,13.461533027552365,10.228101854033829,5.375156892392845,5.375156892392845
597,scrapy/scrapy,4.815425643458588,1.7329849266983688,4.829233802261616,4.829233802261616
598,minimaxir/big-list-of-naughty-strings,-0.63431054504015,-2.4443131714049326,4.576830753311703,4.576830753311703
599,ageitgey/face_recognition,5.011616146244543,-0.15765763758080126,4.015877502154709,4.015877502154709
600,home-assistant/home-assistant,5.31195716285514,3.9749293187996826,3.9170585124220936,3.9170585124220936
601,soimort/you-get,2.8761269286772597,-0.7133532561358276,3.7797139375314837,3.7797139375314837
602,XX-net/XX-Net,4.44726568761334,44.234118787217284,3.731341005494539,3.731341005494539
603,python/cpython,8.599560979087268,3.770535528066799,3.612654561532465,3.612654561532465
604,deepfakes/faceswap,5.477467669320657,-2.712580021741842,3.5703282460001384,3.5703282460001384
605,Avik-Jain/100-Days-Of-ML-Code,3.664118413117966,-2.4954116190881535,3.43332919205265,3.43332919205265
606,certbot/certbot,0.3886251217491687,1.1453527783413295,3.1916372923394882,3.1916372923394882
607,isocpp/CppCoreGuidelines,0.8948450610363848,-1.8630683290082959,3.1140678406088167,3.1140678406088167
608,testerSunshine/12306,4.506203575281549,-1.8375191051666855,3.010584318144068,3.010584318144068
609,faif/python-patterns,2.1414217536352074,-2.7700657753854654,2.6954692180176876,2.6954692180176876
610,pandas-dev/pandas,5.512991875586427,18.173910468774665,2.6344847715568256,2.6344847715568256
611,facebookresearch/Detectron,2.1922859580611957,-0.9624581885915291,2.5944043421547858,2.5944043421547858
612,apachecn/AiLearning,4.481982525554888,-2.6423196561774134,2.54896833813437,2.54896833813437
613,localstack/localstack,-0.5592252908875007,-1.1157535316411915,2.5189080160828405,2.5189080160828405
614,QUANTAXIS/QUANTAXIS,-0.7747926334547842,-2.3996020296821143,-0.7885912119432312,-0.7885912119432312
615,wal-e/wal-e,-1.595886219188594,-2.2590812985532573,-0.7887639724147918,-0.7887639724147918
616,santinic/pampy,-1.7613967256541114,-2.725354633662647,-0.7898005352441548,-0.7898005352441548
617,MongoEngine/mongoengine,-0.9742126095376269,-0.8347120693834771,-0.7899732957157154,-0.7899732957157154
618,drathier/stack-overflow-import,-1.7436346225212265,-2.763678469425063,-0.7910098585450785,-0.7910098585450785
619,guardicore/monkey,-1.524030438332833,-2.5592846786921797,-0.791182619016639,-0.791182619016639
620,msracver/Deformable-ConvNets,-1.1437599576242543,-1.8694556349686986,-0.7922191818460022,-0.7922191818460022
621,hunkim/PyTorchZeroToAll,-1.0565641786082745,-2.6423196561774134,-0.7923919423175626,-0.7923919423175626
622,apachecn/sklearn-doc-zh,-1.0412241804480558,-2.8020023051874783,-0.7936012656184862,-0.7936012656184862
623,christabor/flask_jsondash,-1.6241441105363654,-2.5273481488901663,-0.7937740260900468,-0.7937740260900468
624,googleapis/google-cloud-python,-0.8280789428534385,-1.2498869568096462,-0.7941195470331678,-0.7941195470331678
625,andresriancho/w3af,-1.0977399631435982,6.414880195673476,-0.7956743912772124,-0.7956743912772124
626,kstenerud/iOS-Universal-Framework,-1.430375712723077,-1.9652652243747375,-0.795847151748773,-0.795847151748773
627,cookiecutter-flask/cookiecutter-flask,-1.3762820350002005,-2.8020023051874783,-0.7967109541065756,-0.7967109541065756
628,CharlesShang/FastMaskRCNN,-0.952413664783632,-1.9013921647707115,-0.7977475169359386,-0.7977475169359386
629,JuanPotato/Legofy,-1.7008441013374587,-2.776453081345868,-0.7984385588221806,-0.7984385588221806
630,cowrie/cowrie,-1.385970454890865,-2.4251512535237247,-0.7986113192937412,-0.7986113192937412
631,tensorflow/adanet,-1.4820472854732871,-2.489024313127751,-0.7993023611799832,-0.7993023611799832
632,gaojiuli/toapi,-1.6774304199350196,-2.795614999227076,-0.7999934030662254,-0.7999934030662254
633,pallets/flask-sqlalchemy,-1.2357999465855665,-2.3485035819988935,-0.8005116844809068,-0.8005116844809068
634,DanMcInerney/wifijammer,-1.3116925690624377,-2.629545044256608,-0.8005116844809068,-0.8005116844809068
635,facebookresearch/pythia,-1.5321041215750533,-2.5912212084941926,-0.8013754868387094,-0.8013754868387094
